Case_ID,Department,Region,Priority,Channel,Customer_Type,Created_Date,Closed_Date,SLA_Days,Resolution_Hours,Status,SLA_Breach,Agent_ID,Reopen_Flag,Customer_Rating
CASE-100000,Customer Support,North,High,Portal,Retail,2023-04-13,2023-04-14 00:00:00,3,24,Closed,0.0,AGT-183,0,4.0
CASE-100001,Customer Support,North,High,Portal,Retail,2024-03-11,2024-03-12 16:00:00,3,40,Closed,0.0,AGT-141,0,5.0
CASE-100002,Onboarding,South,Medium,Chat,Retail,2023-09-28,2023-09-30 07:00:00,5,55,Closed,0.0,AGT-163,0,4.0
CASE-100003,Onboarding,East,Medium,Email,Retail,2023-04-17,2023-04-20 00:00:00,7,72,Closed,0.0,AGT-229,0,4.0
CASE-100004,Claims Processing,East,High,Chat,Retail,2023-03-13,2023-03-16 00:00:00,7,72,Closed,0.0,AGT-217,1,5.0
CASE-100005,Claims Processing,East,Low,Phone,SME,2024-12-01,,5,28,Pending Customer,,AGT-294,0,
CASE-100006,Billing,North,Medium,Portal,Retail,2023-01-21,2023-01-22 12:00:00,7,36,Closed,0.0,AGT-165,1,4.0
CASE-100007,Policy Update,East,High,Chat,Retail,2024-09-06,2024-09-10 04:00:00,15,100,Closed,0.0,AGT-104,0,3.0
CASE-100008,Onboarding,East,High,Email,Retail,2023-05-02,2023-05-03 21:00:00,5,45,Closed,0.0,AGT-215,0,4.0
CASE-100009,Claims Processing,East,Medium,Phone,SME,2024-04-11,2024-04-11 21:00:00,7,21,Closed,0.0,AGT-248,0,4.0
CASE-100010,Customer Support,North,High,Email,Retail,2023-08-03,2023-08-06 10:00:00,10,82,Closed,0.0,AGT-238,0,3.0
CASE-100011,Onboarding,North,Medium,Chat,SME,2023-11-27,2023-11-29 21:00:00,7,69,Closed,0.0,AGT-242,0,4.0
CASE-100012,Policy Update,North,Low,Phone,SME,2024-04-03,2024-04-05 00:00:00,7,48,Closed,0.0,AGT-247,0,3.0
CASE-100013,Policy Update,South,Low,Email,Retail,2023-03-29,2023-03-30 00:00:00,3,24,Closed,0.0,AGT-112,0,2.0
CASE-100014,Onboarding,West,High,Chat,Retail,2024-01-08,2024-01-09 06:00:00,5,30,Closed,0.0,AGT-175,0,5.0
CASE-100015,Claims Processing,East,Medium,Phone,Retail,2023-04-10,2023-04-11 19:00:00,5,43,Closed,0.0,AGT-247,0,5.0
CASE-100016,Customer Support,West,High,Email,Retail,2024-10-25,2024-10-29 03:00:00,7,99,Closed,0.0,AGT-181,0,2.0
